Module 1,12_6;226,93;24,66;16,07;33,26;1,03
Module 1,12_7;227,29;22,46;16,07;33,56;1,03
Module 1,12_8;226,50;23,03;16,07;33,19;1,03
Module 1,12_9;226,55;24,39;16,06;32,93;1,03
Module 1,12_10;226,67;22,18;16,07;33,31;1,03
Module 1,12_11;227,09;23,72;16,01;33,85;1,03
Module 1,12_12;227,35;22,22;16,00;33,33;1,04
Module 1,12_13;228,97;56,51;15,90;33,15;1,05
Module 1,12_14;227,95;22,23;16,03;33,13;1,04
Module 1,12_15;226,82;23,20;16,08;32,48;1,03
Module 1,12_16;226,72;22,29;16,06;33,39;1,03
Module 1,12_17;226,08;24,28;16,02;33,45;1,03
Module 1,12_18;226,69;31,53;16,06;32,62;1,03
Module 2,1_1;205,69;21,72;15,89;31,28;0,98
Module 2,1_2;223,79;33,02;16,07;32,28;1,06
Module 2,1_3;225,83;25,43;16,05;33,83;1,05
Module 2,1_4;226,01;28,02;16,04;33,58;1,05
Module 2,1_5;225,63;20,82;16,04;33,07;1,05
Module 2,1_6;225,50;31,75;16,03;33,74;1,05
Module 2,1_7;224,46;23,68;16,05;33,09;1,05
Module 2,1_8;225,81;22,22;16,04;33,63;1,05
Module 2,1_9;225,71;23,19;16,04;33,49;1,05
Module 2,1_10;225,29;23,09;16,06;32,78;1,05
Module 2,1_11;225,82;26,98;16,05;34,24;1,04
Module 2,1_12;226,53;28,46;16,07;34,04;1,05
Module 2,1_13;225,46;25,23;16,03;33,67;1,05
Module 2,1_14;225,88;28,34;16,05;34,53;1,05
Module 2,1_15;223,11;23,51;16,05;32,61;1,04
Module 2,1_16;225,56;20,56;16,05;32,89;1,05
Module 2,1_17;226,86;22,91;16,02;32,81;1,05
Module 2,1_18;225,86;24,00;16,04;33,58;1,05
Module 2,2_1;226,29;24,67;16,04;33,56;1,04
Module 2,2_2;243,48;23,71;16,74;31,18;1,11
Module 2,2_3;224,90;27,79;15,99;34,61;1,03
Module 2,2_4;226,11;27,50;16,04;34,47;1,04
Module 2,2_5;229,84;28,64;16,37;34,26;1,03
Module 2,2_6;226,45;21,55;16,05;32,66;1,04
Module 2,2_7;226,01;24,58;16,04;34,14;1,04
Module 2,2_8;226,46;22,87;16,05;32,57;1,04
Module 2,2_9;226,74;21,25;16,06;33,60;1,04
Module 2,2_10;225,08;25,89;15,80;34,99;1,05
Module 2,2_11;226,41;20,88;16,04;33,08;1,04
Module 2,2_12;226,13;21,80;16,05;32,93;1,04
Module 2,2_13;226,83;22,29;16,18;32,04;1,04
Module 2,2_14;226,72;27,67;16,03;34,10;1,04
Module 2,2_14 (2);226,60;21,61;16,04;33,74;1,04
Module 2,2_15;231,59;25,30;15,66;32,67;1,09
Module 2,2_16;226,25;22,62;16,05;32,89;1,04
Module 2,2_17;226,09;24,55;16,05;33,67;1,04
Module 2,2_18;226,07;28,41;16,04;34,27;1,04
Module 2,3_1;226,46;24,58;16,05;32,91;1,00
Module 2,3_2;225,92;23,47;16,03;33,80;1,00
Module 2,3_3;226,91;23,13;15,98;33,44;1,01
Module 2,3_4;226,56;24,33;16,05;33,52;1,00
Module 2,3_5;225,85;23,53;16,07;32,80;1,01
Module 2,3_6;226,39;25,02;16,05;33,89;1,00
Module 2,3_7;227,38;23,39;16,04;33,09;1,01
Module 2,3_8;226,33;23,17;16,04;33,00;1,00
Module 2,3_9;225,97;24,36;16,05;32,91;1,00
Module 2,3_10;227,04;20,73;16,06;29,25;1,01
Module 2,3_10 QClip;227,29;19,76;16,06;29,44;1,01
Module 2,3_11;225,51;30,21;16,04;32,45;1,00
Module 2,3_12;226,37;23,51;15,99;33,73;1,01
Module 2,3_13;226,54;24,08;16,05;32,98;1,01
Module 2,3_14;226,39;22,09;16,04;32,69;1,00
Module 2,3_15;226,99;22,38;16,07;33,11;1,01
Module 2,3_16;226,09;22,70;16,04;33,58;1,00
Module 2,3_17;227,08;23,05;16,02;33,30;1,01
Module 2,3_18;226,10;26,34;16,06;33,25;1,00
Module 2,4_1;226,52;23,77;16,05;33,41;1,01
Module 2,4_2;226,12;26,41;16,04;33,69;1,01
Module 2,4_3;225,78;24,55;16,06;33,03;1,01
Module 2,4_4;226,12;24,58;16,07;32,51;1,02
Module 2,4_5;226,21;23,17;16,04;33,35;1,01
Module 2,4_6;226,01;23,82;15,97;31,91;1,02
Module 2,4_7;225,65;23,35;16,08;32,46;1,02
Module 2,4_8;226,46;21,40;16,04;33,38;1,01
Module 2,4_9;226,78;23,29;16,06;32,60;1,01
Module 2,4_10;226,62;23,33;16,05;33,13;1,01
Module 2,4_11;225,98;53,62;16,03;33,45;1,01
Module 2,4_12;226,37;24,04;16,04;33,07;1,01
Module 2,4_13;226,87;23,53;16,05;33,65;1,01
Module 2,4_14;223,76;22,11;15,65;31,90;1,04
Module 2,4_15;223,57;27,70;15,88;33,94;1,01
Module 2,4_16;226,39;31,61;16,04;32,99;1,01
Module 2,4_17;226,44;24,39;16,04;33,11;1,01
Module 2,4_18;226,65;24,07;16,05;33,62;1,01
