module;pmpp;month
Module 1,12_8;176,93333027672256;June_2019
Module 1,12_1;178,0631128860614;June_2019
Module 1,12_10;179,63871477859783;June_2019
Module 1,12_11;177,68696657836645;June_2019
Module 1,12_12;177,4643460819053;June_2019
Module 1,12_13;177,54654628545524;June_2019
Module 1,12_14;177,11673563206452;June_2019
Module 1,12_15;177,35293862352916;June_2019
Module 1,12_16;176,7798083228133;June_2019
Module 1,12_17;179,26740687564438;June_2019
Module 1,12_18;177,4251844400255;June_2019
Module 1,2_9;181,32915317665226;June_2019
String 1,2;182,62974261476384;June_2019
Module 1,2_2;183,28486558115753;June_2019
Module 1,2_3;181,4276593828332;June_2019
Module 1,2_4;180,00493540640332;June_2019
Module 1,2_5;184,09704773450315;June_2019
Module 1,2_6;183,35370860424106;June_2019
Module 1,2_7;182,73836445602527;June_2019
Module 1,2_8;178,3530946585131;June_2019
Module 1,2_1;181,4050737848585;June_2019
Module 1,2_10;181,91886588290737;June_2019
Module 1,2_11;178,54870651780536;June_2019
Module 1,2_12;175,4945829666031;June_2019
Module 1,2_13;180,17547938898443;June_2019
Module 1,2_14;176,86999319634447;June_2019
Module 1,2_15;180,27975246464104;June_2019
Module 1,2_16;186,23696204689344;June_2019
Module 1,2_17;181,61462632305947;June_2019
Module 1,2_18;182,2908814941393;June_2019
Module 1,3_9;183,823676997622;June_2019
String 1,3;177,92544335376047;June_2019
Module 1,3_2;185,13073004247428;June_2019
Module 1,3_3;183,26958298827975;June_2019
Module 1,3_4;184,23860521092385;June_2019
Module 1,3_5;181,41001544721135;June_2019
Module 1,3_6;182,9576322630188;June_2019
Module 1,3_7;182,15691233349912;June_2019
Module 1,3_8;183,61063668913135;June_2019
Module 1,3_1;182,98206343718482;June_2019
Module 1,3_10;181,10048337193402;June_2019
Module 1,3_11;183,05739188112773;June_2019
Module 1,3_12;183,17230407132914;June_2019
Module 1,3_13;181,99805369452167;June_2019
Module 1,3_14;179,9176521151416;June_2019
Module 1,3_15;179,17076869082416;June_2019
Module 1,3_16;182,55955826176208;June_2019
Module 1,3_17;179,23589008579373;June_2019
Module 1,3_18;181,22807842216076;June_2019
Module 1_4_9;178,5534078502522;June_2019
String 1,4;183,01926816836138;June_2019
Module 1_4_2;179,11762869704148;June_2019
Module 1_4_3;174,58628914945317;June_2019
Module 1_4_4;180,70459640380145;June_2019
Module 1_4_5;185,45365514806534;June_2019
Module 1_4_6;169,3519968605492;June_2019
Module 1_4_7;179,14815800380634;June_2019
Module 1_4_8;187,712629883336;June_2019
Module 1_4_1;208,75082113915187;June_2019
Module 1_4_10;178,72568067913815;June_2019
Module 1_4_11;181,1320180663707;June_2019
Module 1_4_12;180,7110601649025;June_2019
Module 1_4_13;174,99176221865125;June_2019
Module 1_4_14;178,94234726685374;June_2019
Module 1_4_16;177,18432986668714;June_2019
Module 1_4_17;180,41346665594483;June_2019
Module 1_4_18;180,10197980867954;June_2019
Module 1,5_9;180,41346665594483;June_2019
String 1,5;172,05723971832697;June_2019
Module 1,5_2;180,72796724935498;June_2019
Module 1,5_3;179,9531394557434;June_2019
Module 1,5_4;179,33114663035556;June_2019
Module 1,5_5;178,99167258463234;June_2019
Module 1,5_6;181,92519321859774;June_2019
Module 1,5_7;179,82635574687203;June_2019
Module 1,5_8;180,6963443689963;June_2019
Module 1,5_1;180,76791920763569;June_2019
Module 1,5_10;178,44674213580436;June_2019
Module 1,5_11;182,53123271841696;June_2019
Module 1,5_12;178,29890566667785;June_2019
Module 1,5_13;177,49858160757154;June_2019
Module 1,5_14;179,0562974813691;June_2019
Module 1,5_15;179,0769414062642;June_2019
Module 1,5_16;183,01786253664002;June_2019
Module 1,5_17;182,80870285710088;June_2019
Module 1,5_18;177,85812650923833;June_2019
Module 1,6_9;179,92069102770486;June_2019
String 1,6;174,34210303420718;June_2019
Module 1,6_2;180,00021335971266;June_2019
Module 1,6_3;179,17926968398638;June_2019
Module 1,6_4;179,92107753720603;June_2019
Module 1,6_5;181,62681738499532;June_2019
Module 1,6_6;175,20108161664513;June_2019
